Date,ADRO.JK,ANTM.JK,BBCA.JK,BBNI.JK,PTBA.JK
2022-01-03,840.7259521484375,1944.5784912109375,6573.09423828125,2772.38525390625,1227.6514892578125
2022-01-04,815.894287109375,1911.3377685546875,6640.39501953125,2896.060546875,1241.4453125
2022-01-05,794.6101684570312,1886.4072265625,6685.2626953125,2865.141845703125,1255.2392578125
2022-01-06,815.894287109375,1853.1666259765625,6707.6962890625,2865.141845703125,1241.4453125
2022-01-07,862.0101318359375,1853.1666259765625,6864.73291015625,2916.673095703125,1282.826904296875
2022-01-10,851.3679809570312,1844.856689453125,6819.86474609375,2906.36669921875,1278.22900390625
2022-01-11,830.0838012695312,1728.5142822265625,6909.6005859375,2896.060546875,1301.218505859375
2022-01-12,819.4415893554688,1608.0169677734375,6909.6005859375,2906.36669921875,1269.032958984375
2022-01-13,808.7996215820312,1632.9473876953125,6909.6005859375,2896.060546875,1292.022705078125
2022-01-14,805.2523803710938,1620.4820556640625,7044.20361328125,2926.9794921875,1301.218505859375
2022-01-17,801.7050170898438,1541.5355224609375,6954.46728515625,2968.204345703125,1292.022705078125
2022-01-18,787.515380859375,1479.2093505859375,6887.1669921875,2916.673095703125,1296.62060546875
2022-01-19,791.0628051757812,1433.50341796875,6887.1669921875,2926.9794921875,1292.022705078125
2022-01-20,819.4415893554688,1608.0169677734375,6976.90185546875,2947.591796875,1296.62060546875
2022-01-21,819.4415893554688,1616.326904296875,7133.9375,2957.89794921875,1301.218505859375
2022-01-24,805.2523803710938,1566.4659423828125,6999.33544921875,2926.9794921875,1319.6103515625
2022-01-25,783.9681396484375,1462.5889892578125,6976.90185546875,2803.30419921875,1292.022705078125
2022-01-26,783.9681396484375,1499.9847412109375,6909.6005859375,2937.28564453125,1319.6103515625
2022-01-27,819.4415893554688,1466.744140625,6999.33544921875,2968.204345703125,1333.4041748046875
2022-01-28,808.7996215820312,1470.899169921875,6976.90185546875,3091.879638671875,1324.2083740234375
2022-01-31,794.6101684570312,1470.899169921875,6842.29931640625,3019.735595703125,1310.4144287109375
2022-02-02,783.9681396484375,1479.2093505859375,6999.33544921875,3040.348388671875,1292.022705078125
2022-02-03,787.515380859375,1529.0701904296875,6932.03369140625,3009.429443359375,1296.62060546875
2022-02-04,773.3258056640625,1504.139892578125,6932.03369140625,3019.735595703125,1282.826904296875
2022-02-07,780.4207153320312,1504.139892578125,6999.33544921875,3040.348388671875,1296.62060546875
2022-02-08,780.4207153320312,1487.51953125,6932.03369140625,3091.879638671875,1305.816650390625
2022-02-09,783.9681396484375,1479.2093505859375,7133.9375,3122.79833984375,1319.6103515625
2022-02-10,766.2312622070312,1562.3109130859375,6954.46728515625,3164.0234375,1305.816650390625
2022-02-11,769.7786254882812,1533.2254638671875,7021.7685546875,3174.32958984375,1324.2083740234375
2022-02-14,791.0628051757812,1570.6212158203125,6909.6005859375,3174.32958984375,1338.0020751953125
2022-02-15,812.346923828125,1562.3109130859375,7066.63623046875,3267.086181640625,1338.0020751953125
2022-02-16,794.6101684570312,1562.3109130859375,7156.37158203125,3277.392333984375,1333.4041748046875
2022-02-17,787.515380859375,1616.326904296875,7089.0712890625,3256.779541015625,1333.4041748046875
2022-02-18,794.6101684570312,1736.8243408203125,7111.50439453125,3287.698486328125,1347.1981201171875
2022-02-21,787.515380859375,1803.3056640625,7133.9375,3256.779541015625,1351.7960205078125
2022-02-22,791.0628051757812,1811.61572265625,7089.0712890625,3194.942138671875,1351.7960205078125
2022-02-23,822.9890747070312,1828.2362060546875,7223.673828125,3267.086181640625,1383.9815673828125
2022-02-24,879.7470703125,1844.856689453125,7178.8056640625,3225.86083984375,1457.548583984375
2022-02-25,869.1048583984375,1844.856689453125,7223.673828125,3298.0048828125,1443.7548828125
2022-03-01,915.2206420898438,1878.0972900390625,7223.673828125,3267.086181640625,1466.7447509765625
2022-03-02,925.8627319335938,1903.0277099609375,7156.37158203125,3205.24853515625,1494.3323974609375
2022-03-04,1078.3995361328125,2035.990478515625,7089.0712890625,3256.779541015625,1627.6727294921875
2022-03-07,1149.3468017578125,2343.466064453125,6909.6005859375,3184.635986328125,1664.456298828125
2022-03-08,1106.7784423828125,2360.086669921875,6864.73291015625,3133.1044921875,1600.0848388671875
2022-03-09,1092.5889892578125,2202.193603515625,7044.20361328125,3205.24853515625,1627.6727294921875
2022-03-10,1057.115234375,2135.71240234375,7111.50439453125,3205.24853515625,1595.487060546875
2022-03-11,1064.210205078125,2094.161376953125,7133.9375,3277.392333984375,1600.0848388671875
2022-03-14,989.7152709960938,1994.4393310546875,7246.10693359375,3339.229736328125,1521.919921875
2022-03-15,961.3364868164062,1969.5087890625,7313.40771484375,3328.923583984375,1517.322021484375
2022-03-16,1000.3575439453125,1986.1292724609375,7358.275390625,3442.292724609375,1554.105712890625
2022-03-17,971.978515625,1952.8887939453125,7178.8056640625,3390.761474609375,1526.5179443359375
2022-03-18,964.883544921875,1986.1292724609375,7089.0712890625,3421.68017578125,1466.7447509765625
2022-03-21,964.883544921875,1961.1988525390625,7089.0712890625,3328.923583984375,1480.5384521484375
2022-03-22,993.2626342773438,2119.091796875,7111.50439453125,3308.31103515625,1517.322021484375
2022-03-23,993.2626342773438,2077.541015625,7089.0712890625,3328.923583984375,1531.115966796875
2022-03-24,1021.6416625976562,2193.88330078125,7111.50439453125,3453.326171875,1540.3118896484375
2022-03-25,1000.3575439453125,2210.503662109375,7133.9375,3453.326171875,1526.5179443359375
2022-03-28,1014.5468139648438,2185.5732421875,7197.7158203125,3568.786865234375,1577.09521484375
