,ADRO.JK,ANTM.JK,BBCA.JK,BBNI.JK,PTBA.JK
ADRO.JK,0.19204595944340316,0.05124671976720804,0.018690703934298798,0.018742353119720823,0.06886392627118046
ANTM.JK,0.05124671976720804,0.1874319922922761,0.009879729370718692,0.011348455187483657,0.03753568063025648
BBCA.JK,0.018690703934298798,0.009879729370718692,0.0538230676635459,0.034970948403399774,0.011705968550289846
BBNI.JK,0.018742353119720823,0.011348455187483657,0.034970948403399774,0.08819533194271305,0.019142592899330804
PTBA.JK,0.06886392627118046,0.03753568063025648,0.011705968550289846,0.019142592899330804,0.10931565030069704
